DATASET RH - 20 FICHES DE POSTE,,,,,,,,,,
,,,,,,,,,,
N°,Catégorie,Titre,Relations fonctionnelles,Relations externes,Supérieur hiérarchique,Il est remplacé par,TÂCHES ET RESPONSABILITÉS :,Formation Initiale et Professionnelle :,Expérience et Savoir-faire :,Fichier
11,Services Généraux,Chef service technique et Infrastructure,Tous les services + enseignants + Etudiants,-,Secrétaire Général,Yassine Oudni (Assistant service technique),"- Management de l’équipe technique (assistant service technique)
- Participation aux comités d’infrastructure et d’achats (spécification des besoins, rédaction des consultations, cahiers des charges, contrats de maintenance et de prestations)
- Planification, organisation et coordination des interventions techniques (électricité, climatisation, maintenance informatique, sécurité des données, serveurs, réseau, vidéosurveillance, etc.)
- Veille au bon fonctionnement des équipements et installations techniques de l’établissement
- Mise à jour et évolution des systèmes informatiques et techniques
- Garantie de la disponibilité et de la performance de l’infrastructure réseau
- Création et administration des comptes institutionnels du personnel
- Gestion des sauvegardes et assurance de la continuité des services
- Administration du site web de l’institut
- Suivi et traitement des réclamations techniques
- Application des normes de sécurité, d’hygiène et d’accessibilité dans l’ensemble des bâtiments
- Intervention rapide en cas de panne, urgence technique ou sinistre
- Participation à la mise en place et au maintien du dispositif qualité
- Contribution à l’amélioration continue de la qualité des prestations'",Ingénieur en informatique ,"- Expérience confirmée en gestion technique et maintenance
- Maîtrise des systèmes de maintenance des équipements
- Compétences en planification et organisation
- Connaissance des normes de sécurité, d’hygiène et d’accessibilité
- Réactivité et gestion efficace des situations d’urgence
- Esprit de collaboration et travail en équipe
- Maîtrise des outils de gestion technique (GMAO, tableaux de bord, reporting)
- Rigueur et sens de l’organisation
- Bonnes compétences en communication
- Connaissance de la prise en charge des apprenants à besoins spécifiques (handicap, difficultés d’apprentissage, situations particulières)'",IND-PGV-029-FP Chef Ser Technique & Infrastructure (Achraf).docx
12,Administration,Chargé du bureau d'ordre,Enseignants / Administration / Direction,,Secrétaire Général,Secrétaire du secrétaire général,"- Réception des courriers en arrivée et départ (lettres, fax, colis)
- Enregistrement des courriers dans la plateforme de gestion du bureau d’ordre (GEC)
- Préparation des bordereaux d’expédition
- Dépouillement et ventilation des courriers
- Reproduction et distribution des courriers
- Archivage et classement des courriers
- Participation au dispositif qualité (accueil, prestation)
- Amélioration continue de la qualité de la prestation'",-,"- Organisation rigoureuse
- Maîtrise des outils bureautiques et systèmes de gestion du courrier (numérisation, enregistrement, traçabilité)
- Confidentialité dans le traitement des documents administratifs sensibles
- Ponctualité et respect des délais de transmission
- Connaissance des circuits administratifs internes et des procédures hiérarchiques
- Capacité d’archivage des documents selon les normes
- Connaissance de la prise en charge des apprenants à besoins spécifiques'",IND-PGV-024-FP Chargé Bureau d_ordre (Sabeh).docx
13,Ressources Humaines,RESPONSABLE RESSOURCES HUMAINES,Tous le personnel,Autorités de tutelles,Secrétaire général,-,"- Accueil et information du personnel (prise de poste)
- Accompagner le personnel dans les démarches administratives
- Suivi et élaboration des états de présence du personnel administratif
- Gestion et suivi des demandes et dossiers du personnel (congés, attestations, accidents de travail, détachements, etc.)
- Élaboration des listes d’absences pour les bénéficiaires d’indemnités
- Préparation des numéros professionnels et des primes de rendement
- Gestion des questionnaires d’absences
- Veiller à la confidentialité des informations traitées
- Diffusion des notes de service, circulaires et informations réglementaires
- Rédaction des rapports et bilans pour la direction ou les autorités de tutelle
- Participation au dispositif qualité'",Maîtrise / licence / Mastère ou équivalent,"- Langue française
- Gestion RH administrative et suivi du personnel
- Connaissance du droit du travail et réglementation de l’enseignement supérieur
- Gestion administrative
- Dialogue social
- Évaluation et développement RH
- Gestion des conflits
- Confidentialité
- Prise en charge des apprenants à besoins spécifiques'",IND-PGV-046-FP Responsable RH (AMENI).docx
14,Administration,Secrétaire de la direction des départements,Tous les départements,-,"Directeurs de départements, Directeur des études, Secrétaire général",Secrétaire de la direction,"-Assurer la liaison entre les enseignants et le Directeur de département en matière de communication, de circulation de l’information et de gestion des demandes administratives ou pédagogiques.
-Assurer la gestion et le suivi administratif des stages étudiants (stages ouvriers, PFA, PFE).
-Publier sur le site web de l’institut les informations et annonces relatives à la recherche de stages et aux opportunités offertes aux étudiants.	                          
-Gérer les demandes de modification des informations de stage saisies par les étudiants sur la plateforme dédiée.
-Veiller à la mise à jour régulière du site web concernant tout changement relatif aux stages et aux procédures associées.
-Participer à l’organisation des soutenances (PFA/PFE), notamment par la publication des calendriers, des dates limites de dépôt et des documents requis Assurer la réception, le contrôle et le traitement des rapports de stage soumis par les étudiants.
-Effectuer le tri, la répartition et la transmission des rapports de stage aux enseignants encadrants et évaluateurs.
-Recevoir, centraliser et communiquer les listes des notes relatives aux projets PFA et PFE au service d’examens.'",bac+3,"- Compétences organisationnelles et gestion du temps
- Maîtrise des outils informatiques et de gestion
- Compétences en rédaction et en communication
- Diplomatie et sens de la bienveillance
- Autonomie
- Connaissance de la prise en charge des apprenants à besoins spécifiques (handicap, difficultés d’apprentissage, situations particulières)'",IND-PGV-050-FP SecretaireDep (Aicha).docx
15,Scolarité,Chargé(e) de la scolarité et de la logistique pédagogique,-,-,Secrétaire Générale,Chargé(e) de la scolarité et de la logistique pédagogique,"- Réception, orientation et information des étudiants au service scolarité
- Mise à jour régulière des fichiers étudiants
- Réception des demandes courantes (copies des relevés de notes, attestations de réussite, certificats de scolarité, cartes étudiantes, etc.)
- Pointage quotidien des présences des enseignants selon les emplois du temps
- Signalement des absences des enseignants au chargé des emplois du temps
- Affichage des avis d’absence, de rattrapage, de contrôles (DS), etc.
- Participation à la logistique des sessions d’examens (préparation des feuilles d’examens et de brouillon, compostage, etc.)
- Participation active à la mise en place et au maintien du dispositif qualité (accueil, prestation)
- Contribution à l’amélioration continue de la qualité des prestations
- Suivi et traitement des documents de stage (formulaires de proposition SFE, lettres d’affectation, conventions de stage)'",enseignement de base,"- Expérience en scolarité universitaire
- Maîtrise des procédures administratives
- Connaissance du milieu éducatif
- Maîtrise des outils bureautiques et logiciels scolaires
- Organisation et gestion des priorités
- Rigueur et autonomie
- Communication écrite et orale
- Discrétion et confidentialité
- Travail en équipe et polyvalence
- Connaissance de la prise en charge des apprenants à besoins spécifiques (handicap, difficultés d’apprentissage, situations particulières)'",IND-PGV-027-FP Chargé emploi_présence (Moez & Madiha).docx
16, Services Généraux,Assistant service technique,Tous les services + enseignants + étudiants,-,Secrétaire Général,Achraf Boukhriss (Chef service technique),"- Assurer l’entretien de base des installations techniques (électricité, éclairage, ventilation…)
- Participer à la mise en place, raccordement ou démontage de matériel pédagogique, bureautique ou audiovisuel
- Préparer les salles et installer les équipements (microphones, vidéoprojecteurs, etc.) et intervenir en cas de besoin technique
- Collaborer avec les prestataires extérieurs et assurer le suivi des travaux réalisés
- Identifier les dysfonctionnements techniques mineurs et effectuer les premières vérifications ou réparations
- Suivre les outils, matériaux et consommables nécessaires à l’entretien et aux interventions
- Veiller à l’application des règles de sécurité et au bon fonctionnement des dispositifs de prévention
- Participer à l’organisation logistique des événements
- Assurer la disponibilité pour les demandes urgentes liées aux infrastructures",Technicien en informatique ,"- Formation initiale et professionnelle : Technicien en informatique
- Compétences de base en maintenance
- Capacité de diagnostic et intervention rapide
- Maîtrise de l’outillage et des équipements techniques
- Connaissance des règles de sécurité
- Polyvalence dans les tâches techniques et logistiques
- Sens de l’organisation et gestion des priorités
- Rigueur dans le suivi des interventions et des stocks
- Esprit d’équipe et collaboration
- Autonomie
- Connaissance de la prise en charge des apprenants à besoins spécifiques'",IND-PGV-053-FP Ser Technique (Yassine).docx
17,Administration,Standardiste,-,-,Secrétaire Général,NA,"- Accueil téléphonique
- Gestion des appels téléphoniques
- Transmission interne et externe d’informations fiables, claires et rapides
- Gestion des urgences et coordination avec les équipes appropriées (sécurité, soins médicaux, etc.)
- Garantir la confidentialité des informations personnelles et professionnelles
- Participation au dispositif qualité (accueil, prestations)
- Amélioration continue de la qualité de la prestation'",-,"- Langue arabe
- Langue française
- Accueil
- Téléphonie
- Communication
- Sang-froid
- Sens du service
- Orientation
- Discrétion
- Priorisation
- Connaissance de la prise en charge des apprenants à besoins spécifiques",IND-PGV-054-FP Standardiste (Raja).docx
18,Bibliothèque,Chargé du prêt bibliothèque,"Enseignants, étudiants",-,Responsable Bibliothèque,Responsable Bibliothèque,"- Accueillir, orienter et renseigner les utilisateurs sur le fonctionnement du service de prêt
- Tenir à jour les bases de données relatives aux prêts (registre ou système informatisé)
- Alerter sur les retards ou pertes d’ouvrages et appliquer les procédures de relance
- Collaborer avec le responsable de la bibliothèque pour optimiser la circulation des ouvrages
- Participer à la mise en rayon et au rangement des livres empruntés
- Participer à l’inventaire périodique des documents prêtés et disponibles
- Contribuer à la bonne tenue et à l’organisation de l’espace prêt'",Maîtrise / licence / Mastère ou équivalent,"- Maîtrise des outils de gestion documentaire
- Sens du service et de l’accueil des usagers
- Rigueur
- Capacité à organiser et ranger les ouvrages selon les normes établies
- Gestion du temps et des priorités
- Connaissance du fonctionnement d’une bibliothèque universitaire
- Esprit d’équipe
- Connaissance de la prise en charge des apprenants à besoins spécifiques (handicap, difficultés d’apprentissage, situations particulières)'",IND-PGV-025-FP Chargé du prêt bibliothèque (Maha).docx
19,Finance,Chargé du service financier,"Secrétaire principal, Secrétaire général, Enseignants","Fournisseurs, Comptable, contrôleur de dépenses",Secrétaire général,CHARGÉ DU SERVICE FINANCIER,"- Gestion et suivi de l’exécution budgétaire de l’établissement, du laboratoire et projets de recherche
- Gérer les flux de dépenses : engagements, dégagements, mandats, devis, BC, services faits, factures, dossiers de missions, arrêtés de remboursements, contrats
- Participer à la préparation et à la mise à jour des conventions budgétaires
- Participer à la préparation des consultations et des appels d’offres
- Contrôler la conformité des conventions budgétaires
- Collecter et contrôler les pièces justificatives, vérifier la régularité juridique, comptable et financière nécessaires aux opérations de paiement
- Participer aux comités d’achats
- Suivre les paiements des fournisseurs
- Élaborer des tableaux de bord financiers, analyser les taux de dépenses, produire des rapports à la demande de la direction ou des autorités de tutelle
- Participation active dans la mise en place et le maintien du dispositif qualité (accueil, prestation)
- Amélioration continue de la qualité de la prestation'",Maîtrise / licence / Mastère ou équivalent,"- Langue française
- Comptabilité publique
- Élaboration budgétaire
- Gestion des dépenses
- Reporting
- Marchés publics
- Outils numériques
- Rigueur et discrétion (Confidentialité)
- Réactivité
- Connaissance de la prise en charge des apprenants à besoins spécifiques (handicap, difficultés d’apprentissage, situations particulières)'","IND-PGV-026-FP Chargé du service financier titre1 (Hayfa, Najowa, Karim).docx"
20,Magasin,Magasinier,Enseignants / Administration,"Fournisseurs, autorités de tutelles",Secrétaire Général,NA,"'- Réceptionner les livraisons de matériel, de fournitures ou d’équipements, vérifier leur conformité avec les bons de commande
- Tenir à jour les registres ou le système informatique pour le suivi des stocks et la traçabilité des mouvements de matériel
- Organiser le rangement des produits dans le respect des normes de sécurité, d’accessibilité et de conservation
- Répartir le matériel ou les fournitures selon les demandes des différents services pédagogiques et administratifs
- Réaliser des inventaires réguliers, anticiper les ruptures de stock et proposer des réapprovisionnements
- Participer à la préparation des demandes d’achats et assurer le lien avec la commission des achats pour le suivi des approvisionnements
- Veiller à la propreté, à la sécurité et à la fonctionnalité des espaces de stockage
- Fournir les équipements nécessaires pour les examens, conférences ou manifestations organisées par l’établissement
- Travailler en coordination avec le service technique, la scolarité, la direction, les départements, etc.
- Respecter les consignes de sécurité liées au stockage, à la manutention et à l’utilisation de certains produits
- Participation active dans la mise en place et le maintien du dispositif qualité (accueil, prestation)
- Amélioration continue de la qualité de la prestation'",-,"- Langue française
- Maîtrise de la gestion des stocks
- Connaissance des procédures de réception et de distribution
- Utilisation d’outils informatiques de gestion logistique
- Organisation et rigueur
- Capacité d’anticipation
- Connaissance des règles de sécurité et de manutention
- Réactivité
- Travail en équipe et communication interservices
- Autonomie et sens des responsabilités
- Connaissance de la prise en charge des apprenants à besoins spécifiques (handicap, difficultés d’apprentissage, situations particulières)'",IND-PGV-044-FP Magasinier (Hatem).docx
